0,0,1,113,978,2074,1474,652
0,1,1,113,978,2074,1474,652
0,2,1,113,978,2074,1474,652
0,3,1,113,978,2074,1474,652
0,4,1,113,978,2074,1474,652
0,5,1,113,978,2074,1474,652
1,0,1,113,978,2074,1474,652
1,1,1,9,1110,2153,1449,610
1,2,1,9,1110,2153,1449,610
1,3,1,9,1110,2153,1449,610
1,4,1,9,1110,2153,1449,610
1,5,1,9,1110,2153,1449,610
2,0,1,113,978,2074,1474,652
2,1,1,3,884,2423,1441,590
2,2,1,2,537,2822,1453,538
2,3,1,1,273,3100,1465,517
2,4,1,1,196,3176,1468,518
2,5,1,1,186,3182,1471,518
3,0,1,113,978,2074,1474,652
3,1,1,3,864,2137,1777,597
3,2,1,2,456,1826,2543,589
3,3,1,1,137,1259,3430,602
3,4,1,1,24,778,3996,631
3,5,1,1,5,633,4158,633
4,0,1,113,978,2074,1474,652
4,1,1,3,864,2103,1577,850
4,2,1,2,456,1709,1829,1443
4,3,1,1,137,994,1957,2362
4,4,1,1,24,349,1876,3193
4,5,1,1,5,142,1710,3586
5,0,1,113,978,2074,1474,652
5,1,1,3,864,2103,1544,812
5,2,1,2,456,1709,1665,1197
5,3,1,1,137,994,1542,1760
5,4,1,1,24,349,1125,2241
5,5,1,1,5,142,707,2402
6,0,1,113,978,2074,1474,652
6,1,1,3,864,2103,1544,797
6,2,1,2,456,1709,1665,1106
6,3,1,1,137,994,1542,1496
6,4,1,1,24,349,1125,1675
6,5,1,1,5,142,707,1495
